metric	value
clean_rows	9238
dedup_merged_events	996
dedup_removed_rows	5533
drop_invalid_nuclear_interval	1
drop_not_converted_to_hg38	109
eligible_for_dedup	9129
input_rows	9239
liftover_hg18_ambiguous	40
liftover_hg18_success	2258
liftover_hg18_unmapped	9
liftover_hg19_ambiguous	38
liftover_hg19_success	2248
liftover_hg19_unmapped	3
liftover_hs1_ambiguous	8
liftover_hs1_success	939
liftover_hs1_unmapped	11
rows_missing_mt_breakpoint	2879
rows_ref_hg18	2307
rows_ref_hg19	2289
rows_ref_hg38	3684
rows_ref_hs1	958
output_rows	3596
