ID	PC	ContaminatingSample	IntendedSample
1000434	1	-0.0225682	-0.0162859
1000434	2	-0.0382389	-0.0299698
1000434	3	-0.0302813	-0.00405142
1000434	4	0.0147248	0.011054
1000592	1	-0.00888555	-0.016337
1000592	2	-0.0948777	-0.0317273
1000592	3	-0.0532668	-0.0036063
1000592	4	-0.0981688	0.0132404
1000612	1	-0.00480512	-0.0165057
1000612	2	-0.0681188	-0.0307929
1000612	3	0.101922	-0.00350194
1000612	4	0.00978151	0.0140594
1000753	1	-0.0475424	-0.0164553
1000753	2	-0.0960847	-0.0322216
1000753	3	-0.192159	-0.00488854
1000753	4	0.0526678	0.0136997
1000810	1	0.0451486	-0.016377
1000810	2	-0.171293	-0.0313339
1000810	3	0.164502	-0.00248553
1000810	4	0.248312	0.0150745
1000907	1	0.00166428	-0.0163481
1000907	2	-0.00896457	-0.0316676
1000907	3	-0.102087	-0.0018417
1000907	4	-0.0212358	0.0142634
1000917	1	-0.0138908	-0.0166251
1000917	2	-0.033919	-0.0311482
1000917	3	-0.0345363	-0.00487356
1000917	4	0.0342938	0.0143079
1001070	1	-0.0164749	-0.0163101
1001070	2	-0.0482684	-0.0315642
1001070	3	0.0484924	-0.00290474
1001070	4	0.067383	0.0130765
1001091	1	-0.0234201	-0.0164214
1001091	2	-0.0168457	-0.0313324
1001091	3	-0.00884946	-0.00552942
1001091	4	0.00619889	0.0128642
1001099	1	-0.0245659	-0.0163051
1001099	2	-0.0409681	-0.0308958
1001099	3	0.0240668	-0.00321485
1001099	4	0.0636393	0.0125656
1001194	1	-0.0220027	-0.0161794
1001194	2	-0.0469234	-0.0323572
1001194	3	-0.0793858	-0.00513317
1001194	4	0.0821086	0.0123387
1001738	1	-0.0228795	-0.0168806
1001738	2	-0.0221167	-0.0308704
1001738	3	0.0189326	-0.00590379
1001738	4	-0.000888317	0.0150206
1001746	1	0.00736093	-0.0165342
1001746	2	-0.0449047	-0.0312023
1001746	3	0.0536437	-0.00530352
1001746	4	0.175333	0.0122238
1001969	1	-0.0170345	-0.0165444
1001969	2	-0.0374126	-0.0318159
1001969	3	-0.000600072	-0.00602255
1001969	4	0.0149861	0.0133182
1002052	1	-0.026546	-0.0166681
1002052	2	-0.0447504	-0.0318204
1002052	3	0.015403	-0.00612641
1002052	4	-0.00206752	0.0135173
1002259	1	0.0194388	-0.0166474
1002259	2	-0.0394923	-0.0308501
1002259	3	0.055881	-0.00463376
1002259	4	0.0199295	0.0136867
1002448	1	-0.0111756	-0.0164397
1002448	2	-0.0696573	-0.0320502
1002448	3	0.0153185	-0.0038001
1002448	4	0.0785642	0.0143903
1002730	1	-0.0195187	-0.0163956
1002730	2	-0.0349554	-0.0315762
1002730	3	0.0120232	-0.00677162
