metric,value
rows_before_intersection,8542
rows_after_intersection,8542
unique_id_after_intersection,8542
id_consistency_mismatch_count,0
freemix_consistency_mismatch_count,0
status_count_PASS,8512
status_count_FAIL,30
priority_count_FIRST,7844
priority_count_SECONDE,698
freemix_q0.00,1.93e-84
freemix_q0.01,2.6364e-10
freemix_q0.05,1.26e-09
freemix_q0.25,1.18e-08
freemix_q0.50,0.000176721
freemix_q0.75,0.00065145775
freemix_q0.95,0.009114261
freemix_q0.99,0.014679547
freemix_q1.00,0.41734
avg_dp_q0.00,10.072
avg_dp_q0.01,23.748597
avg_dp_q0.05,28.32368
avg_dp_q0.25,31.19825
avg_dp_q0.50,33.39735
avg_dp_q0.75,36.753675
avg_dp_q0.95,43.91379
avg_dp_q0.99,52.748898
avg_dp_q1.00,69.2185
freemix_bin_count_<=0.001,6930
freemix_bin_count_0.001-0.005,898
freemix_bin_count_0.005-0.01,376
freemix_bin_count_0.01-0.02,308
freemix_bin_count_0.02-0.05,18
freemix_bin_count_>0.05,12
fail_with_freemix_le_0.02,0
