metric	value
clean_rows	6462
dedup_merged_events	896
dedup_removed_rows	5423
drop_excluded_source	2777
drop_not_converted_to_hg38	109
eligible_for_dedup	6353
input_rows	9239
liftover_hg18_ambiguous	40
liftover_hg18_success	2258
liftover_hg18_unmapped	9
liftover_hg19_ambiguous	38
liftover_hg19_success	2248
liftover_hg19_unmapped	3
liftover_hs1_ambiguous	8
liftover_hs1_success	939
liftover_hs1_unmapped	11
rows_missing_mt_breakpoint	2799
rows_ref_hg18	2307
rows_ref_hg19	2289
rows_ref_hg38	908
rows_ref_hs1	958
output_rows	930
