metric,value
rows_before_intersection,34184
rows_after_intersection,34184
unique_id_after_intersection,8546
priority_count_FIRST,31392
priority_count_SECONDE,2792
pc_count_1,8546
pc_count_2,8546
pc_count_3,8546
pc_count_4,8546
contaminating_q0.00,-48.1545
contaminating_q0.01,-1.5379932
contaminating_q0.05,-0.40732625
contaminating_q0.25,-0.032391475
contaminating_q0.50,-0.00196903
contaminating_q0.75,0.09231755
contaminating_q0.95,1.0921215
contaminating_q0.99,2.0157004
contaminating_q1.00,32.6456
intended_q0.00,-0.0946221
intended_q0.01,-0.040385118
intended_q0.05,-0.03263241
intended_q0.25,-0.0164339
intended_q0.50,-0.00452637
intended_q0.75,0.013023775
intended_q0.95,0.02712372
intended_q0.99,0.035458815
intended_q1.00,0.0454997
